provincia,municipio,estacion,magnitud,contaminante,punto_muestreo,nombre_estacion,ano,mes,dia,hora,valor,validacion,fecha,dia_semana,es_fin_semana
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,21,0,N,2026-05-07 21:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,21,0,N,2026-05-07 21:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,22,0,N,2026-05-07 22:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,22,0,N,2026-05-07 22:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,22,0,N,2026-05-07 22:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,22,0,N,2026-05-07 22:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,23,0,N,2026-05-07 23:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,23,0,N,2026-05-07 23:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,23,0,N,2026-05-07 23:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,23,0,N,2026-05-07 23:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,0,51,V,2026-05-07 00:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,0,38,V,2026-05-07 00:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,0,7,V,2026-05-07 00:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,0,39,V,2026-05-07 00:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,1,17,V,2026-05-07 01:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,1,53,V,2026-05-07 01:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,1,0,V,2026-05-07 01:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,1,17,V,2026-05-07 01:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,2,31,V,2026-05-07 02:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,2,38,V,2026-05-07 02:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,2,1,V,2026-05-07 02:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,2,29,V,2026-05-07 02:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,3,13,V,2026-05-07 03:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,3,57,V,2026-05-07 03:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,3,1,V,2026-05-07 03:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,3,12,V,2026-05-07 03:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,4,18,V,2026-05-07 04:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,4,53,V,2026-05-07 04:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,4,1,V,2026-05-07 04:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,4,16,V,2026-05-07 04:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,5,11,V,2026-05-07 05:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,5,55,V,2026-05-07 05:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,5,1,V,2026-05-07 05:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,5,10,V,2026-05-07 05:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,6,60,V,2026-05-07 06:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,6,29,V,2026-05-07 06:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,6,9,V,2026-05-07 06:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,6,47,V,2026-05-07 06:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,7,71,V,2026-05-07 07:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,7,30,V,2026-05-07 07:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,7,13,V,2026-05-07 07:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,7,52,V,2026-05-07 07:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,8,29,V,2026-05-07 08:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,8,53,V,2026-05-07 08:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,8,2,V,2026-05-07 08:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,8,26,V,2026-05-07 08:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,9,20,V,2026-05-07 09:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,9,59,V,2026-05-07 09:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,9,1,V,2026-05-07 09:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,9,18,V,2026-05-07 09:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,10,15,V,2026-05-07 10:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,10,75,V,2026-05-07 10:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,10,1,V,2026-05-07 10:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,10,13,V,2026-05-07 10:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,11,10,V,2026-05-07 11:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,11,84,V,2026-05-07 11:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,11,1,V,2026-05-07 11:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,11,8,V,2026-05-07 11:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,12,13,V,2026-05-07 12:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,12,87,V,2026-05-07 12:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,12,2,V,2026-05-07 12:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,12,11,V,2026-05-07 12:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,13,0,N,2026-05-07 13:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,13,0,N,2026-05-07 13:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,13,0,N,2026-05-07 13:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,13,0,N,2026-05-07 13:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,14,0,N,2026-05-07 14:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,14,0,N,2026-05-07 14:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,14,0,N,2026-05-07 14:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,14,0,N,2026-05-07 14:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,15,0,N,2026-05-07 15:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,15,0,N,2026-05-07 15:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,15,0,N,2026-05-07 15:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,15,0,N,2026-05-07 15:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,16,0,N,2026-05-07 16:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,16,0,N,2026-05-07 16:00:00,3,False
